name,location,category,tags,reviews,review_link,id
송재서재필선생상,서대문구,1.0,#3·1운동_100주년_여행지추천#관광지#독립공원#독립신문#독립운동,,,176
해병대104고지전적비,서대문구,1.0,#관광지#기념탑#역사#역사공부#역사관광지#역사를품은곳#역사문화재,,,177
성재이시영선생동상,중구,1.0,#관광지#독립#동상#성재이시영동상#신흥무관학교#아이와함께#역사,,,178
한국유림독립운동파리장서비,중구,1.0,#관광지#독립운동#역사#역사공부#역사관광지#역사를품은곳#역사문화재,,,179
일성이준열사동상,중구,1.0,#3·1운동_100주년_여행지추천#관광지#독립#독립운동#애국계몽#역사,,,180
이원등 상사상,용산구,1.0,#가족과함께#관광지#동상#아이와함께#애국심#애국정신#애국지사,,,181
고당조만식선생동상,광진구,1.0,#관광지#독립#독립운동#역사#역사공부#역사관광지#역사를품은곳,,,182
호국무공수훈자공적비,성동구,1.0,#관광지#수도권#역사#역사공부#역사관광지#역사문화재#역사속#역사속으로,,,183
서울학도병참전기념비,용산구,1.0,#관광지#애국심#애국정신#애국지사#역사#역사공부#역사관광지#역사를품은곳,,,184
의열사(용산),용산구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속,,,185
이탈리아의무부대 6.25전쟁 참전기념비,영등포구,1.0,#관광지#국가보훈처#기념비#역사#역사공부#역사관광지#역사를품은곳,,,186
3.1독립운동기념탑,중구,1.0,#3.1독립운동기념탑#3.1운동#3·1운동_100주년_여행지추천#관광지,,,187
우남이승만박사 동상,강동구,1.0,#관광지#대통령#동상#수도권#역사#역사공부#역사관광지#역사를품은곳,,,188
고덕동 생태경관 보전지역,강동구,1.0,#고덕동생태경관보전지역#관광지#생태체험#수도권#자연#체험,,,189
탄천,강남구,1.0,#관광지#자연,,,190
우이동계곡,강북구,1.0,#관광지#자연,,,191
순정효황후윤씨친가,중구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속,,,192
현대원서공원,종로구,1.0,#공원#관광지#도시공원#도심공원#산책하기좋은곳#약속의장소#연인과함께,193.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d8317410-Reviews-Wonseo_Park-Seoul.html,193
훈련원공원,중구,1.0,#관광지#산책길#산책하기#산책하기좋은곳#역사공부#역사관광지#역사속,194.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d18185581-Reviews-Seoul.html,194
관훈동 민씨 가옥 (구 부마도위박영효가옥),중구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속,,,195
보광사(서울),용산구,1.0,#관광지#불교#불교문화#사찰#사찰여행#역사#역사속#역사여행#역사이야기,,,196
서빙고동 부군당,용산구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속,,,197
삼청동오위장김춘영가옥,중구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속,,,198
무궁화동산,종로구,1.0,#공원#관광지#무궁화#무궁화공원#산책길#산책코스#산책하기#산책하기좋은곳,,,199
대모산공원,강남구,1.0,#강남#공원#관광지#대모산공원#도심공원#산책길#산책하기#산책하기좋은곳,,,200
숭인근린공원,종로구,1.0,#관광지#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로,,,201
아시아공원,송파구,1.0,#관광지#근린공원#산책길#산책하기#산책하기좋은곳#서울종합운동장,,,202
성덕사,중랑구,1.0,#관광지#불교#불교문화#사찰#사찰여행#역사#자연속으로#자연환경,,,203
