p_name,address,category,main_mn,price,opng_tm,rating,rvw_cnt,tags,p_id
진만두,서울특별시 마포구 와우산로29길 4-42,딤섬 / 만두,따 빠오즈 소 (3개),10000.0,12:00 - 22:00,4.6,240.0,"중식,2018 인기,홍익대,Dim Sum,만두,서울,Hongik University,강북,중식주점,만원 이하,",4169
분99,서울특별시 동대문구 천장산로4길 36,베트남 음식,,,11:00 - 21:00,3.8,7.0,"쌀국수,",2142
코벤트가든,서울특별시 송파구 위례성대로 128,이탈리안,,,11:00 - 22:30,3.8,44.0,"이탈리안,가성비,파스타,발렛가능,피자,연예인,",4603
마이셰프,서울특별시 성북구 인촌로24가길 14-1,기타 양식,,,11:00 - 21:00,3.6,12.0,"파스타,",1450
변강성가자미,서울특별시 구로구 도림로 101,기타 중식,,,,,1.0,,2027
최우영수산,서울특별시 영등포구 영등포로 159,해산물 요리,,,12:00 - 22:00,3.7,14.0,,4361
토리자까나,서울특별시 중랑구 신내로 225 디아뜨갤러리,이자카야 / 오뎅 / 꼬치,,,14:30 - 17:50,,2.0,"이자카야,",4784
하단,서울특별시 성북구 성북로6길 14,탕 / 찌개 / 전골,,,12:00 - 20:00,3.5,45.0,"성북동,테이스티로드,수요미식회,맛있는tv,메밀,냉칼국수,만두전골,만두국,다트,만두,",5089
미연마라탕,서울특별시 동대문구 경희대로1가길 4,기타 중식,,,11:00 - 22:00,3.9,14.0,,1810
명륜건강원,서울특별시 종로구 혜화로3길 5 아남아파트 301동 103호,한정식 / 백반 / 정통 한식,사과 고추장 제육볶음,8800.0,월-금: 11:00 - 22:00 토: 11:00 - 21:00,4.3,101.0,"2020망고플레이트인기맛집,백반,Delivery,대학로,성균관대,집밥,제육볶음,한식,2018 인기,삼겹살,",1631
밀리,서울특별시 구로구 새말로 62,카페 / 디저트,,,월-금: 11:00 - 23:00 토-일: 10:00 - 23:00,,7.0,,1840
명동돈가스,서울특별시 중구 명동3길 8,까스 요리,,,월-토: 11:00 - 21:30 일: 11:00 - 21:00,3.9,89.0,"까스 요리,명동,Myeong-dong,수요미식회,돈까스,돈가스,",1621
장수삼계탕,서울특별시 금천구 가산로 53,탕 / 찌개 / 전골,,,,,1.0,,3966
곱사모,서울특별시 강동구 양재대로102길 32,고기 요리,,,,,2.0,"곱창,",373
돈부리청년,서울특별시 동대문구 천장산로4길 42,돈부리 / 일본 카레 / 벤토,,,11:00 - 20:30,3.4,33.0,"돈부리,사케동,가츠동,숨겨진맛집,",1049
나노하나,서울특별시 서대문구 동교로 294,이자카야 / 오뎅 / 꼬치,,,17:30 - 01:00,4.2,25.0,"사케,술집추천,수요미식회,오토시,깔끔한,다찌,이자카야,",609
스시타노,서울특별시 서초구 서래로5길 30,회 / 스시,런치 오마카세,45000.0,12:00 - 22:00,4.1,24.0,"초밥,",2802
엔조이더커피,서울특별시 서초구 효령로 221 1F,카페 / 디저트,,,월-금: 09:00 - 23:00 토-일: 10:00 - 22:00,4.0,17.0,,3259
루브리카,서울특별시 중구 소공로 106 웨스틴조선호텔 B1,이탈리안,,,07:00 - 22:00,4.1,7.0,,1340
안방마님 불고기백반,서울특별시 서대문구 명물1길 2,,,,,4.2,19.0,"2020망고플레이트인기맛집,백반,",3092
젠젠,서울특별시 관악구 관악로12길 23 1F,카페 / 디저트,,,,3.5,15.0,,4075
도란도란야채곱창,서울특별시 동대문구 휘경로2길 5-7,고기 요리,,,15:00 - 02:00,3.2,23.0,"곱창,단체석,오돌뼈,야채곱창,",995
막쉬돈나,서울특별시 금천구 시흥대로 409,기타 한식,,,11:00 - 02:30,,1.0,,1479
한양식당,서울특별시 중랑구 겸재로 225,한정식 / 백반 / 정통 한식,,,00:00 - 24:00,,0.0,"24시,",5166
탐나도다,서울특별시 은평구 통일로83길 5-14,카페 / 디저트,,,,,5.0,,4723
삼거리푸줏간 Blue,서울특별시 영등포구 국제금융로 10 IFC몰 THREE 1F,고기 요리,,,11:00 - 23:00,3.7,10.0,"YG,직장인,회식,여의도,여의도 벚꽃축제,",2355
그리츠,서울특별시 영등포구 의사당대로 16 글래드 호텔,뷔페,,,06:30 - 22:00,3.9,13.0,"아이와함께,콜키지가능,",478
짬뽕타임,서울특별시 동작구 사당로 300 이수자이,정통 중식 / 일반 중식,,,00:00 - 24:00,3.1,25.0,"셀프코너,짬뽕,정통 중식,얼큰한,짜장면,군만두,탕수육,24시,",4198
나에게오는길,서울특별시 관악구 관악로14길 82 2F,카페 / 디저트,,,14:00 - 20:00,3.7,10.0,,624
카밀로라자네리아,서울특별시 마포구 동교로12길 41,이탈리안,에밀리아나 라자냐,15000.0,11:45 - 21:30,4.5,199.0,"파스타,데이트,2020망고플레이트인기맛집,Hot Spot,전국 이탈리안,핫플레이스,2018 인기,",4417
텍스트커피,서울특별시 종로구 창덕궁길 121,카페 / 디저트,,,11:00 - 19:00,4.2,13.0,"2020망고플레이트인기맛집,Hot Spot,핫플레이스,2018 인기,인테리어 예쁜 카페,",4761
로만티카,서울특별시 중랑구 상봉로25길 39 1F,칵테일 / 와인,,,,,1.0,,1307
서천집쭈꾸미대구탕,서울특별시 금천구 벚꽃로38길 42,해산물 요리,,,11:00 - 23:00,,0.0,,2473
대한맥주집,서울특별시 종로구 대학로11길 38-11 1F,치킨 / 호프 / 펍,,,16:00 - 02:00,4.1,33.0,"단체석,맥주,테이스티로드,2020망고플레이트인기맛집,치킨,누룽지,",903
페더커피,서울특별시 강동구 진황도로 123 광남캐스빌아파트상가 101호,카페 / 디저트,,,화-금: 11:00 - 21:00 토-월: 12:00 - 21:00,3.9,18.0,,4917
풍천장어,서울특별시 은평구 응암로 340-1 대진빌딩 1F,해산물 요리,,,,,0.0,,5004
먹골골목냉면,서울특별시 중랑구 공릉로 56-8,국수 / 면 요리,,,11:00 - 22:00,,2.0,"냉면,",1565
허씨전통중경마라쌍궈,서울특별시 광진구 동일로18길 50,기타 중식,,,11:30 - 23:30,3.9,17.0,"오비라거곰세권매장,꿔바로우,건국대,탕수육,채식메뉴,",5253
서울리즘,서울특별시 송파구 백제고분로 435,카페 / 디저트,,,,3.6,15.0,"인생샷카페,",2459
335식당,서울특별시 강북구 도봉로87길 43,고기 요리,,,,,1.0,,24
가츠라,서울특별시 중랑구 망우로55길 11-10 홈플러스,까스 요리,,,11:00 - 21:00,,5.0,"돈부리,",171
대림원조마늘통닭,서울특별시 구로구 도림천로 336,닭 / 오리 요리,,,14:30 - 02:00,,1.0,"치킨,",871
올래밥상,서울특별시 금천구 시흥대로 291 금천롯데캐슬골드파크3차 1F,한정식 / 백반 / 정통 한식,,,11:00 - 21:00,,1.0,,3494
대보명가,서울특별시 강북구 4.19로 69,한정식 / 백반 / 정통 한식,,,11:00 - 21:00,4.1,22.0,"약초밥,한정식,두부조림,",880
