tags,p_id,p_rate,link,open_day,price,address,p_name,category,open_time
,c211,0/5,https://place.map.kakao.com/1510735977#comment,"월~목 10:00 ~ 02:00
더보기",,서울 성북구 고려대로24길 58-5 3층 (우)02855,통툰 고대안암점,c,만화카페
,c212,,https://place.map.kakao.com/1053320430#comment,,,,,c,
,c213,0/5,https://place.map.kakao.com/31778557#comment,,,서울 강북구 도봉로 40 8층 (우)01220,놀숲 미아사거리역점,c,만화카페
,c214,0/5,https://place.map.kakao.com/873289552#comment,매일 11:00 ~ 24:00,,서울 서초구 효령로53길 45 지하1층 (우)06652,카툰바이커피 서초본점,c,만화카페
,c22,0/5,https://place.map.kakao.com/1172846512#comment,,,서울 중랑구 망우로 284 지하 1층 (우)02137,만화카페코난,c,만화카페
,c23,0/5,https://place.map.kakao.com/1546376561#comment,,,서울 성북구 도봉로 3 지하 1층 (우)02729,만화카페휴,c,만화카페
,c24,0/5,https://place.map.kakao.com/1557357342#comment,매일 10:30 ~ 24:00,,서울 동작구 동작대로 25-1 C&I 빌딩 4층 (우)07015,툰펍,c,만화카페
,c25,0/5,https://place.map.kakao.com/33547558#comment,,,서울 노원구 한글비석로 231 지하1층 (우)01743,놀숲 중계은행사거리점,c,만화카페
,c27,0/5,https://place.map.kakao.com/1730990348#comment,매일 10:00 ~ 24:00,,서울 성동구 마조로7길 9 지하1층 (우)04760,통툰 왕십리역점,c,만화카페
,c29,0/5,https://place.map.kakao.com/1695730134#comment,매일 10:00 ~ 24:00,,서울 종로구 대학로 122 (우)03086,콩툰 대학로점,c,만화카페
,c32,0/5,https://place.map.kakao.com/2103599138#comment,,,"서울 성북구 성북로2길 4 청미빌딩 1, 2층 (우)02833",코카카페,c,만화카페
,c33,0/5,https://place.map.kakao.com/344946288#comment,,,서울 서대문구 연희로15안길 32-7 1층 (우)03702,페잇퍼,c,만화카페
,c35,0/5,https://place.map.kakao.com/463852691#comment,,,서울 송파구 잠실동 195-12,달빛정거장,c,만화카페
,c36,0/5,https://place.map.kakao.com/148067699#comment,,,서울 강북구 도봉로 177 서광빌딩 4층 (우)01170,툰스토리,c,만화카페
,c37,0/5,https://place.map.kakao.com/27355098#comment,"매일 11:00 ~ 24:00
더보기",,서울 강동구 동남로75길 19 명일빌딩 지하1층 (우)05269,가이야만화카페,c,만화카페
,c38,0/5,https://place.map.kakao.com/2051041727#comment,"매일 10:00 ~ 02:00
더보기",,서울 노원구 덕릉로83길 26 4층 (우)01662,마이툰,c,만화카페
,c40,0/5,https://place.map.kakao.com/2021829896#comment,매일 10:00 ~ 23:00,,"서울 강서구 공항대로 247 퀸즈파크나인 A동 401, 402호 (우)07803",벌툰 마곡발산점,c,만화카페
만화카페,c41,0/5,https://place.map.kakao.com/354755930#comment,"월,화,수,목,금,일 10:00 ~ 24:00
더보기",,서울 마포구 독막로7길 63 지하1층 (우)04043,벌툰 홍대본점,c,만화방
,c410,0/5,https://place.map.kakao.com/894327405#comment,,,서울 서초구 서초대로77길 58 (우)06611,놀숲 강남교보타워점,c,만화방
,c411,0/5,https://place.map.kakao.com/1876865315#comment,,,서울 송파구 동남로 133 영선빌딩 3층 (우)05832,북앤빅뱅 가락점,c,만화방
,c412,0/5,https://place.map.kakao.com/1494015681#comment,,,서울 종로구 삼일대로19길 15 (우)03190,무림만화카페,c,만화방
"만화책,소설책 대본.대여를 하는 24시간 열려있는 만화카페",c413,0/5,https://place.map.kakao.com/12520692#comment,"매일 00:00 ~ 24:00
더보기",,서울 종로구 종로 389 정우빌딩 4층 (우)03112,24시만화카페,c,만화방
,c414,0/5,https://place.map.kakao.com/28150679#comment,,,서울 구로구 경인로47길 8 2층 (우)08222,만화카페툰 고척점,c,만화방
,c42,0/5,https://place.map.kakao.com/1337065720#comment,매일 10:00 ~ 06:00,,서울 광진구 아차산로 224 3층 (우)05073,놀숲 건대점,c,만화방
,c43,0/5,https://place.map.kakao.com/1915886013#comment,,,서울 영등포구 영중로6길 12 (우)07304,통툰 영등포점,c,만화방
,c44,0/5,https://place.map.kakao.com/1886791812#comment,매일 09:00 ~ 24:00,,서울 강남구 강남대로98길 16 파빌리온 3층 (우)06129,만화카페벌툰 강남역점,c,만화방
만화방 카페,c45,0/5,https://place.map.kakao.com/27510626#comment,매일 10:00 ~ 24:00,,서울 송파구 백제고분로 173 지하 1층 (우)05568,놀숲 잠실본점,c,만화방
